relationship_id,gate,status,evidence
R01,G01,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G02,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G03,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G04,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G05,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G06,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G07,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R01,G08,UNDERPOWERED,"unique_primary_episodes=1; years_20plus=0; control_lanes={'C01': {'G02': True, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 3}}"
R02,G01,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G02,UNDERPOWERED,"unique_primary_episodes=3; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
